id,question,answerText,top1
65d7b1fb,Which Harry Potter movies do not feature Michael Gambon as Dumbledore?,Harry Potter and the Philosopher's Stone; Harry Potter and the Chamber of Secrets,Richard Harris
d34fb1cc,Which American movies were released in 2020 and didn't have a domestic gross of less than $100 million?,"Bad Boys for Life, Sonic the Hedgehog",Wonder Woman 1984
f418604a,Which American movies were released in 2020 and didn't have a domestic gross of less than $80 million?,"Bad Boys for Life, Sonic the Hedgehog, Birds of Prey",Wonder Woman 1984
861e653d,Which Harry Potter movie was Dumbledore not alive in?,Harry Potter and the Deathly Hallows part 1 and 2,Harry Potter and the Half-Blood Prince
15e8a708,"Which movie did Gollum not survive in, in Lord of the Rings?",The Return of the King,The Return of the King
eaa9d643,Which Harry Potter movie did Dumbledore not survive through?,Harry Potter and the Half Blood Prince,Harry Potter and the Half-Blood Prince
5b6f5a03,Which Hobbit movie was Frodo Baggins not in?,"The Hobbit: The Desolation of Smaug, and The Hobbit: The Battle of the Five Armies",The Hobbit: The Battle of the Five Armies
f8b98e1c,In which Tim Burton movie is the music not made by Danny Elfman?,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd
d9f957a4,Which director directed Harry Potter 1 and 2 but not Harry Potter 3?,Chris Columbus,Chris Columbus
4e054acb,Which actor played Dumbledore in the first Harry Potter movie but not the third?,Richard Harris,Richard Harris
fc05ee12,Which Ang Lee movie was nominated for an Academy Award for Best Director but did not win?,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon"
dfa95487,Which Twilight Saga movie did Anna Kendrick not appear in?,The Twilight Saga: Breaking Dawn – Part 2,Breaking Dawn
5d65d703,Which Pirates of the Caribbean movie did Keira Knightley not appear in?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Men Tell No Tales
57eda45b,Which movie did Macauley Culkin decide not to reprise his role in?,Home Alone 3,Home Alone 3
4d6d7be0,Which movie did Keanu Reeves not act in the sequel to?,Speed 2,The Matrix 4
5a127d08,Which Halloween movie did Jamie Lee Curtis not appear in?,Halloween 4,Halloween III: Season of the Witch
42061acb,Which movies did Alfred Hitchcock get nominated for Best Director and didn't win?,"Rebecca, Lifeboat, Spellbound, Rear Window, and Psycho","Psycho, Rear Window"
61e54a45,Which Star Wars Original Trilogy movies were not directed by George Lucas?,"The Empire Strikes Back, Return of the Jedi","Irvin Kershner, Richard Marquand"
6b22aff8,Which Lord of the Rings movie did not get nominated for the Best Director Oscar?,The Two Towers,The Two Towers
6e2cbdb3,Which Captain America (MCU) movie does not star Scarlett Johansson?,The First Avenger,Captain America: The First Avenger
acfa79ca,Which Iron Man movie was not directed by Jon Favreau?,Iron Man 3,Iron Man 3
4f70dd9f,Which Thor movie from the original trilogy does not star Natalie Portman?,Thor: Ragnarok,Thor: Ragnarok
a9d5f5fb,Which 2000 M. Night Shyamalan movie does not star Michael Jordan?,Unbreakable,Unbreakable
3789a878,Which 2003 movie directed by Catherine Hardwicke does not star Tom Selleck?,Thirteen,Thirteen
f4168bd3,Which Star Wars movie did not win or got a nomination for a Best Visual Effects award?,Star Wars: Episode III – Revenge of the Sith,Star Wars: Episode IV - A New Hope
c613b0b3,Which was the first Pixar movie to not be released in the 2010's?,Onward,Toy Story 3
1402f805,Which was the first DC Extended Universe movie to not involve Charles Roven as a producer?,Aquaman,Wonder Woman
fa08c557,Which The Godfather movie was not released in the 1970s?,The Godfather Part III,The Godfather Part III
af632860,Which 2012 Quentin Tarantino movie does not star Uma Thurman?,Django Unchained,Django Unchained
781e6a1d,For which movie was Leonardo DiCaprio nominated for Best Actor in 2007 but did not win?,Blood Diamond,Blood Diamond
7e96646d,Which Christmas favorite movie received five nominations for an Academy Award but did not win any of them?,It's a Wonderful Life.,It's a Wonderful Life
f949efcc,"Which famous 1954 ""thriller"" with James Stewart did not win an Academy Award?",Rear Window,Rear Window
66e66d5d,"Who starred in ""Rebel Without a Cause"" but was not awarded an Academy Award for his/her acting?",James Dean,James Dean
015e0dd9,"Which Judy Garland movie was nominated for, but did not win, the Best Picture Oscar in 1939?",The Wizard of Oz,The Wizard of Oz
d4a90c39,"Who wrote, ""Live and Let Die"", for the 1973 James Bond movie of the same name, which was nominated for, but did not win, the Best Original Song Oscar?",Paul McCartney,Paul McCartney
6755a221,"Which Australian actress was nominated for 2020 BAFTA Best Supporting Actress awards for two different movies, but did not win the BAFTA for either movie?",Margot Robie,Margot Robbie
3bf84d0d,Which movie was Chadwick Bosman nominated for but did not win?,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom
ab3c0d55,Which category was Sacha Baron Cohen nominated for but did not win?,Actor in a Supporting Role,Best Actor in a Motion Picture - Musical or Comedy
7264af05,Which movie was Glenn Close in that was nominated for the Actress in a Supporting Role award but did not win?,Hillbilly Elegy,Glenn Close
a1c278e9,Who was nominated for the award in Cinematography for their role in Judas and the Black Messiah but did not win?,Sean Bobbitt,Sean Bobbitt
dbce9464,Which Christopher Nolan movies were nominated for Best Picture but didn't win?,Inception & Dunkirk,Inception
2c576ee0,Which Peter Jackson movies were nominated for Best Picture but didn't win?,"Lord of the Rings : Fellowship of the Ring, Lord of the Rings : The Two Towers, District 9","The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King"
3ddbb725,Which Ron Howard movie was nominated for Best Picture but didn't win?,Frost/Nixon,Apollo 13
000c8562,Which Tim Burton movies were nominated for Best Animated Feature but didn't win?,Corpse Bride & Frankenweenie,"Corpse Bride, Frankenweenie"
553cdcad,What was the first live action Spider-Man movie to not include Tobey Maguire?,The Amazing Spider-Man,Andrew Garfield
bd19b18c,What was the last Studio Ghibli to not be made by Miyazaki?,Earwig and the Witch,Isao Takahata
474bb18f,"What was the last movie Clint Eastwood starred in, but was not a Dirty Harry movie?",Cry Macho,Gran Torino
2af1f702,What was the first Home Alone movie to not feature Macaulay Culkin?,Home Alone 3,Home Alone 4
fbe6ee56,Which Terminator movie featured Arnold Schwarzenegger as the villain and not the hero?,Terminator 1,Terminator: Genisys
ee95fe21,Which original trilogy Star Wars movie did not feature Billy Dee Williams?,Episode IV: A New Hope,A New Hope
abc1164e,What was the first Star Trek movie to not star the original cast?,Star Trek: First Contact,Star Trek: The Next Generation
1edbc3c8,"What was the most recent movie Glenn Close did not win an Oscar for, despite a nod?",Hillbilly Ellegy,Hillbilly Elegy
5c56b957,Which movie did Leo DiCaprio receive an Oscar nomination for in 2005 for Best Actor but did not win?,The Aviator,The Aviator
5832e733,Which Alfonso Cuarón movie did not win an Oscar in 2018 for Best Picture?,Roma,Roma
9f61e8d8,Which Scorsese movie has won an Oscar for Best Director without De Niro participating in the project?,The Departed,Hugo
9bcc144a,Which Lawrence of Arabia actor was nominated for Best Actor but did not win?,Peter O'Toole,Peter O'Toole
364d326e,Who played the main character in Titanic who did not die in freezing water?,Kate Winslet,Rose
789cf0fa,Which Lord of the Rings movies did not feature Gandalf the Grey?,"The Two Towers, and The Return of the King",The Lord of the Rings: The Two Towers
4001d7e5,Which Matrix movie did Lilly Wachowski not direct?,The Matrix: Resurrections,The Matrix Resurrections
8cf618ec,Which Dumb and Dumber movie did Jim Carrey not star in?,Dumb and Dumberer,Dumb and Dumber To
cbb4db0e,Which Fast and the Furious movies did not star Paul Walker?,"The Fate of the Furious, Fast and Furious: Hobbs and Shaw, and F9","Fast & Furious: Tokyo Drift, Fast & Furious 7"
6bf186bc,Which actor died and was nominated for Best Actor afterwards but did not win?,Chadwick Boseman,Chadwick Boseman
4ee23829,Which Korean-American actor was nominated for Best Actor but did not win?,Steven Yeun,Steven Yeun
7de26165,Which movie about Korean immigrants was nominated for Best Original Score but did not win?,Minari,Minari
d3f06b09,Which 1997 Steven Spielberg movie does not star Jeff Goldblum?,Amistad,The Lost World: Jurassic Park
542fd4e6,Which 1989 Steven Spielberg movie does not star Richard Dreyfuss?,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade
63fd3dba,Which 2002 Steven Spielberg movie does not star Tom Cruise?,Catch Me If You Can,Catch Me If You Can
2ff83a9b,Which 1994 Quentin Tarantino movie does not star Woody Harrelson?,Pulp Fiction,Pulp Fiction
f0031f64,Which Steven Spielberg movies were nominated for Best Picture but did not win?,"E.T. the Extra-Terrestrial, The Color Purple, Saving Private Ryan, Munich, Letters from Iwo Jima, War Horse, Lincoln, Bridge of Spies, The Post","""Jaws"""
e12018d7,Which Paul Anderson movies were nominated for Best Picture but did not win?,"There Will Be Blood, Phantom Thread",There are no Paul Anderson movies nominated for Best Picture.
a4e6f2f9,Which Martin Scorsese movies were nominated for Best Picture but did not win?,"Hugo, The Wolf of Wall Street, The Irishman",Goodfellas
663fc8b7,Which Alfred Hitchcock movies were nominated for Best Picture but did not win?,"Foreign Correspondent, Suspicion, Spellbound",Psycho
be380bff,Which awards was Chloe Zhao nominated for but did not win at the 93rd Academy Awards?,"Best Adapted Screenplay, Best Film Editing",Best Director
fe67980e,Which Iron Man movie does Terrance Howard not appear in?,"Iron Man 2, Iron Man 3",Iron Man 2
6ea123ec,Which Star Wars movie did Darth Vader not appear in?,"Han Solo, Star Wars I, Star Wars II",Rogue One
54c2edcd,Which Iron Man movie did Jeff Bridges not appear in?,Iron Man II and Iron Man III,Iron Man 3
2c86d446,Which Deadpool movie did Josh Brolin not appear in?,Deadpool 2,Deadpool 1
93177ace,Which X-Men movies did Patrick Stewart not appear in?,"X-Men: First Class, X-Men: Apocalypse",Deadpool
83ce8518,Which 2016 M. Night Shyamalan movie does not star Samuel L. Jackson?,Split,Split
b1790cd2,Which 1992 Tim Burton movie does Johnny Depp not appear in?,Batman Returns,Batman Returns
47b32abf,Which 2018 movie was Bradley Cooper nominated Best Actor for but did not win?,A Star is Born,A Star is Born
04add29f,Which 2018 movie was Willem Dafoe nominated Best Actor for but did not win?,At Eternity's Gate,Willem Dafoe
9bdfb792,Which 2010 movie was Michelle Williams nominated Best Actress for but did not win?,Blue Valentine,Blue Valentine
c5518e09,Which movies in the Indiana Jones franchise did Karen Allen not appear in?,"Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade",Indiana Jones and the Kingdom of the Crystal Skull
7f195133,Which 2005 George Clooney movie was nominated for Best Picture at the Academy Awards but did not win?,"Good Night, and Good Luck","Good Night, and Good Luck."
a2355af4,Which Iron Man movies did Terrance Howard not appear in?,"Iron Man 2, Iron Man 3",Iron Man 2
b35fda31,Which is the only Final Destination movie not to be filmed in Canada?,The Final Destination,Final Destination 5
a7c092ac,Which is the first season of American Horror story to not feature Jessica Lange?,Season 5 American Horror Story: Hotel,American Horror Story: Hotel
7efca25f,"What is the only ""Chucky"" movie to not star Brad Dourif as Chucky?",Child's Play 2019,Child's Play (2019)
d1ca8ceb,What is the only one of the Halloween movie franchises to not feature Michael Myers?,Halloween 3 Season of the Witch,Halloween III: Season of the Witch
03a3f221,Which 21st century James Bond movie has Daniel Craig not starred in?,Die Another Day,Casino Royale
4757d5ff,Which Back to the Future movie did not star Elisabeth Shue?,Back to the Future,Back to the Future Part III
cd7899b7,Which movie in 2015 was Cate Blanchett nominated for Best Performance by an Actress in a Leading Role but lost?,Carol,Carol
8c373f71,Which movie in 1998 was Ian McKellen nominated for Best Actor in a Leading Role but lost?,Gods and Monsters,Gods and Monsters
0bc0a879,Which movie in 2002 was Ian McKellen nominated for Best Actor in a Supporting Role but lost?,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen
f5201608,Which movie in 1983 directed by Wolfgang Petersen was nominated for Best Director but did not win?,Das Boot,"The movie ""Das Boot"""
70c8ae5a,Which actor not born in the United States starred as Spider-Man?,Tom Holland,Tom Holland
8165798b,Which Korean actress from Janus: Two Faces of Desire is no longer alive?,Oh In Hye,Kim Hye-soo
e0b02678,Which James Bond actor is no longer alive?,Sean Connery,Sean Connery
b6daa2d3,Which actors in Black Panther are no longer alive?,Chadwick Boseman,Chadwick Boseman
94f9a303,Which Harry Potter movie does not have Lord Voldemort in it?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
7194c7e7,Which Star Wars movie does not have R2D2 in it?,Solo: A Star Wars Story,Solo: A Star Wars Story
982ef12f,Which series starring Jonathan Majors did not win the Emmy for Best Drama Series in 2021?,Lovecraft County,Lovecraft Country
506bbee1,"Which 2021 Emmy award was Cobra Kai nominated for, but did not win?",Outstanding Comedy Series,Outstanding Comedy Series
0453767c,"Which Batman movie was released, but the main actor did not live to see its release?",The Dark Knight,Heath Ledger
be5c8bee,In which Hunger Games movie did Prim not survive?,Mockingjay Part 2,Mockingjay Part 2
9cf7b85f,"Which Star Wars movie features Princess Leia, but not with the original actor?",Rogue One: A Star Wars Story,Rogue One
ba90594e,"In Star Wars, which main member of the original trio does not live past The Force Awakens?",Han Solo,Han Solo
80f035d3,Which lead Star Wars movie character does not appear in any other movie in the movie series?,Jyn Erso,Jyn Erso
eec08776,Which movie was directed by Denis Villeneuve and stars Timothee Chalamet?,Dune,Dune
b6c5c17c,Which movie is part of the Marvel Cinematic Universe and has Chadwick Boseman in the titular role?,Black Panther,Black Panther
e2583e9a,Which Disney animated movie features Robin Williams?,Aladdin,Aladdin
bfebcad0,Which Die Hard movie stars Samuel L. Jackson?,Die Hard 3: with a Vengeance,Die Hard with a Vengeance
3682921f,Which movie franchise was directed by Sam Raimi and starred Tobey Maguire?,Spider-Man,Spider-Man
7a0296af,Which movie is the highest-rated metacritic movie directed by Hayao Miyazaki?,Spirited Away,Spirited Away
2809fa64,Which Happy Madison movie was directed by Dennis Dugan and starred Adam Sandler?,Big Daddy,Grown Ups
c05cb156,Which actor starred in Edge of Tomorrow and was married to Nicole Kidman?,Tom Cruise,Tom Cruise
14364357,"Which actor starred in Fight Club and was born in Shawnee, OK?",Brad Pitt,Brad Pitt
93a82020,Which movie was produced by Michael Mann in 1995 and starred both Robert De Niro & Val Kilmer?,Heat,Heat
e2152456,Who composed the music for Pet Sematary and Alien 3?,Elliot Goldenthal,Elliot Goldenthal
6911c41f,Who directed The Room and starred as the movie's lead actor?,Tommy Wiseau,Tommy Wiseau
fc8e6d97,"Which movie was released on October 11, 1974 and was loosely inspired by the criminal Ed Gein?",Texas Chainsaw Massacre,The Texas Chain Saw Massacre
b8507817,Which movie was directed by James Cameron and starred Leo DiCaprio?,Titanic,Titanic
ef4c00a7,Which actress played Tomb Raider and was married to Brad Pitt?,Angelina Jolie,Angelina Jolie
013b9631,"Which actress was in Hannibal as Clarice Starling and was born in Fort Bragg, North Carolina?",Julianne Moore,Julianne Moore
c2c5a492,"Which actor plays Ethan Hunt in the Mission Impossible series and was born in Syracuse, New York?",Tom Cruise,Tom Cruise
60d0d2bf,Which actress from Germany was in the movie Troy?,Diane Kruger,Diane Kruger
25dc5651,Which actor played a Jedi and also starred in Taken?,Liam Neeson,Liam Neeson
90bf6523,Which actress has famous twin sisters and also played Wanda Maximoff?,Elizabeth Olsen,Elizabeth Olsen
3a1ab80f,Who directed both Psycho as well as a movie starring a wheelchair-bound photographer?,Alfred Hitchcock,Alfred Hitchcock
fd4d3a28,Which movie was directed by the Coen brothers and starred John Turturro?,Barton Fink,Barton Fink
d51b7dab,Which movie was directed by the Coen brothers and starred Javier Bardem?,No Country for Old Men,No Country for Old Men
78ad68cd,Which movie was directed by the Coen brothers and starred Michael Stuhlbarg?,A Serious Man,A Serious Man
bbecf158,Which actress was in a leading role in Harry Potter and attended Brown University?,Emma Watson,Emma Watson
1353ac48,Which movie was directed by George Lucas and came out in 1973?,American Graffiti,American Graffiti
5b004c40,Which movie was directed by Christopher Nolan and starred Robert Pattinson?,Tenet,Tenet
1cbe8494,Which actor played James Bond and was from Ireland?,Pierce Brosnan,Pierce Brosnan
1fc0397c,Which movie was directed by its leading role actor and won the Oscar for Best Picture in 1996?,Braveheart,Mel Gibson
8f0d8c19,Which movie was directed by Martin Campbell and starred Daniel Craig?,Casino Royale,Casino Royale
c43881e9,Which movie was directed by Darren Aronofsky and starred Rachel Weisz?,The Fountain,The Fountain
9e233abf,Which movie was directed by Fernando Meirelles and starred Ralph Fiennes?,The Constant Gardener,The Constant Gardener
8406d625,Which movie was directed by Gus Van Sant and starred Sean Penn?,Milk,Milk
d31367c1,Which famous Stanley Kubrick horror movie was released in 1980 and was based on a novel by Steven King?,The Shining,The Shining
6b922d2e,Which marvel movie was released in 2018 and featured Tom Hardy as an actor in the lead role?,Venom,Venom
12eeaa1b,Which movie released in 1981 features Harrison Ford and was the first in a long series of movies?,Raiders of the Lost Ark,Raiders of the Lost Ark
702903c4,Which actor starred in both Billy Madison and Happy Gilmore?,Adam Sandler,Adam Sandler
f350a134,Which actor played both Captain Kirk and Jack Ryan?,Chris Pine,Chris Pine
4d6a5b65,Which movie starred both Chris Farley and Matthew Perry?,Almost Heroes,Almost Heroes
c4e50cca,Which movie starred both Norm MacDonald and Artie Lange?,Dirty Work,Dirty Work
3c04ea20,Which movie was directed by Kevin Smith and was released in 1994 with a character named Brody?,Mallrats,Mallrats
8cffe159,Which movie was directed by Kevin Smith and stars a character named Amy?,Chasing Amy,Chasing Amy
e73c8d82,Which movie came out starring Van Damme and has the word blood in the title?,Blood Sport,Bloodsport
61c4baea,Which movie came out in the 90s starring Van Damme and has the word kick in the title?,Kickboxer,Kickboxer
15a76dda,Who starred in The Graduate and achieve the Triple Crown of Acting?,Anne Bancroft,Dustin Hoffman
ab658298,Who played a juror in 12 Angry Men and made his Hollywood movie debut in 1935?,Henry Fonda,Henry Fonda
93ce505b,Which actress is married to Ryan Reynolds and starred in Black Widow?,Scarlett Johansson,Scarlett Johansson
7ce7e1f7,"Which actress was in the Hunger Games and was born in Indian Hills, KY?",Jennifer Lawrence,Jennifer Lawrence
d17bf935,Which actress was in Marvin's Room and holds the record for the most awards of any actor?,Meryl Streep,Meryl Streep
5f37b1ca,Which actress was in Suicide Squad and went to Somerset College?,Margot Robbie,Margot Robbie
a0bb4027,Which actor played Luke Skywalker and voiced the Joker?,Mark Hamill,Mark Hamill
3b3cd892,Which actor was both Indiana Jones and Han Solo?,Harrison Ford,Harrison Ford
9259c025,Which movie was directed by the Wachowski Brothers and had Keanu Reeves in it?,The Matrix,The Matrix
733ac0b1,Which movie had Jeff Bridges in it and was produced by Ethan Cohen?,The Big Lebowski,The Big Lebowski
4b083406,Who played Max Zorin in a Bond movie?,Christopher Walken,Christopher Walken
8b7f1fc2,Who played Max Schreck in Batman?,Christopher Walken,Christopher Walken
723e21e8,Who played Vanni Corso in A Business Affair?,Who played Gabriel in The Prophecy?,Jonathan Pryce
cd338531,Walken played Calvin Webber in which movie from 1999?,Blast from the Past,Blast from the Past
5a85054d,Which movie was directed by George Lucas and came out in 1977?,Star Wars,Star Wars
87b569b1,Which actress was in Gone with the Wind and in A Streetcar Named Desire?,Vivien Leigh,Vivien Leigh
db161638,Which actor has a child named Wednesday and starred in the Harry Potter movies?,Rupert Grint,Rupert Grint
45ef8aa9,Which movie directed by Christopher Nolan stars Guy Pierce?,Memento,Memento
cf6e9e3a,"Which movie that has three directors, one of whom is Frank Miller, also stars Bruce Willis?",Sin City,Sin City
4dea8142,Which Steven Spielberg movie was based on a 1990 novel by Michael Crichton?,Jurassic Park,Jurassic Park
197c5bc6,Which 1998 movie written and directed by Christopher Edward Nolan was a breakthrough success for him?,Following,Memento
a166276f,Which 1953 Stanley Kubrick movie was a commercial failure but garnered several positive reviews upon release?,Fear and Desire,Fear and Desire
9c0a7d3e,Which actor has played Superman and was born outside the USA?,Henry Cavill,Henry Cavill
0aa08a0a,Which movies did Brad Pitt produce and act in at the same time?,Moneyball and World War Z,Brad Pitt
4e497e31,Which actor starred in Fight Club and also is a environmental lawyer?,Edward Norton,Edward Norton
52db3d16,"Which movie actress was born in Dalby, Australia and has also played a leading role in the Suicide Squad movie?",Margot Robbie,Margot Robbie
