id,question,answerText,top1,top2,top3,top4,top5
65fb42d2,"Which actor is taller, The Rock or Terry Crews?",The Rock,The Rock,Terry Crews,Dwayne Johnson,Julius Rock,President Camacho
0b9c0743,Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,Big,Big,Sleepless in Seattle,Philadelphia,Forrest Gump,Cast Away
5f3de4a8,"Who is older, Anna Faris or Jennifer Aniston?",Jennifer Aniston,Jennifer Aniston,Anna Faris,Jennifer Aniston,Anna Faris,Jennifer Aniston
8fbd1b49,"Who started acting earlier, Kevin Spacey or Kiefer Sutherland?",Kevin Spacey,Kevin Spacey,Kiefer Sutherland,Kevin Spacey,Kiefer Sutherland,Kevin Spacey
0554476e,"Which movie made more money, Avatar or Spectre?",Avatar,Avatar,Spectre,,,
4c5901ae,"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?",Gone With The Wind,Gone With The Wind,The Wizard of Oz,Gone With The Wind,The Wizard of Oz,Gone With The Wind
c64be55a,Who is taller when comparing Emma Stone to Winona Ryder?,Emma stone,Emma Stone,Winona Ryder,,,
d9368ed1,Were the box office earnings for The Wolf of Wall Street or Inception higher?,Inception,The Wolf of Wall Street,Inception,,,
3263c8a7,Did Avengers or The Lion King have the highest budget in 2019?,Avengers: Endgame,Avengers: Endgame,The Lion King,Star Wars: The Rise of Skywalker,Frozen II,Spider-Man: Far From Home
8af3981e,Did Avengers: Age of Ultron or Avengers: Endgame make more worldwide gross?,Avengers: Endgame,Avengers: Endgame,Avengers: Age of Ultron,Iron Man,Captain America,Thor
713f2368,"Which movie won more Academy Awards, Titanic or Slumdog Millionaire?",Titanic,Titanic,Slumdog Millionaire,Titanic,Titanic,Slumdog Millionaire
c1a636cf,"Who is older, Billy Crystal or Adam Sandler?",Billy Crystal,Billy Crystal,Adam Sandler,Unknown,Billy Crystal and Adam Sandler are the same age,Neither
c5a58056,"Which movie had higher grossing sales, Toy Story or Men In Black?",Men In Black,Toy Story,Men In Black,,,
cf2abc7b,"Which movie had higher grossing sales, Toy Story 4 or Transformers?",Toy Story 4,Toy Story 4,Transformers,,,
8beb3b86,Which movie had a bigger budget: Titanic or Roma?,Titanic,Titanic,Roma,,,
7175a825,"Between The Notebook and Dear John, which movie was more profitable worldwide?",The Notebook,The Notebook,Dear John,The Notebook,Dear John,The Notebook
63df6eb1,"Who is older, Leonardo DiCaprio or Tom Hanks?",Tom Hanks,Leonardo DiCaprio,Tom Hanks,Leonardo DiCaprio,Tom Hanks,Tom Hanks
00cc2a94,"Which movie had a bigger budget, Doctor Sleep or Ad Astra?",Ad Astra,Ad Astra,Doctor Sleep,Ad Astra,Doctor Sleep,Ad Astra
b508def9,"Who is older, Jessica Chastain or Bryce Dallas Howard?",Jessica Chastain,Jessica Chastain,Bryce Dallas Howard,Unknown,Not specified,N/A
5d4d2fa7,"Who is older, Rupert Grint or Daniel Radcliffe?",Rupert Grint,Rupert Grint,Daniel Radcliffe,Unknown,Not specified,N/A
55a787bb,"Who is older, Emma Watson or Tom Felton?",Tom Felton,Emma Watson,Tom Felton,Emma Watson,Tom Felton,Tom Felton
7f6255c1,"Who is older, Amy Adams or Isla Fisher?",Amy Adams,Amy Adams,Isla Fisher,Amy Adams,Isla Fisher,Amy Adams
c2a4cf3f,"Who is older, Ryan Gosling or Ryan Reynolds?",Ryan Reynolds,Ryan Gosling,Ryan Reynolds,Unknown,Not specified,N/A
5a7d2f2f,"Who is older, Sandra Bullock or Eva Mendes?",Sandra Bullock,Sandra Bullock,Eva Mendes,Sandra Bullock,Eva Mendes,Sandra Bullock
e66dd2fd,"Who is older, Jennifer Lawrence or Alison Brie?",Alison Brie,Jennifer Lawrence,Alison Brie,Cannot determine,Jennifer Lawrence and Alison Brie are the same age,Not applicable
f87b3c07,"Who made more movies for Studio Ghibli, Hayao Miyazaki or Isao Takahata?",Hayao Miyazaki,Hayao Miyazaki,Isao Takahata,Hayao Miyazaki,Hayao Miyazaki,Isao Takahata
03aa5c94,"Which movie studio grosses more money, DC or Marvel?",Marvel,Marvel Studios,DC Films,Warner Bros.,Disney,Sony Pictures
dc64bf24,"Who is older, Tom Hanks or Tom Cruise?",Tom Hanks,Tom Hanks,Tom Cruise,,,
d5125264,"Who is taller, Tom Cruise or Dustin Hoffman?",Tom Cruise,Tom Cruise,Dustin Hoffman,Tom Cruise,Dustin Hoffman,Tom Cruise
c938aa92,"Who is older, Meryl Streep or Cher?",Cher,Meryl Streep,Cher,,,
30f68ac6,"Which movie had a bigger budget, Pirates of the Caribbean: At World's End or Avengers: Endgame?",Avenger: Endgame,Avengers: Endgame,Pirates of the Caribbean: At World's End,Avengers: Endgame,Pirates of the Caribbean: At World's End,Avengers: Endgame
5528eadd,"Which movie had a smaller budget, Men in Black 3 or Titanic?",Titanic,Men in Black 3,Titanic,,,
61fd009c,"Which actor has been in more movies, Jerry Stiller or Ben Stiller?",Ben Stiller,Ben Stiller,Jerry Stiller,,,
6aa89fe3,"Which movie grossed more money on release, Avatar or The Avengers?",Avatar,Avatar,The Avengers,Avatar,The Avengers,Avatar
45a87547,"Who is older, Cate Blanchett or Tilda Swinton?",Tilda Swinton,Cate Blanchett,Tilda Swinton,Unknown,Not specified,N/A
25cac1a3,"Which actress is shorter, Renée Zellweger or Anna Kendrick?",Anna Kendrick,Renée Zellweger,Anna Kendrick,Meryl Streep,Scarlett Johansson,Jennifer Lawrence
d281467a,"Which movie had a bigger budget, Transformers: The Last Knight or The Green Knight?",The Transformers: Last Knight,Transformers: The Last Knight,The Green Knight,Transformers: The Last Knight,Transformers: The Last Knight,The Green Knight
7a8cc990,"Which movie had a bigger budget, Transformers: Last Knight or Daredevil?",The Transformers: Last Knight,Transformers: Last Knight,Daredevil,,,
15ad15e5,"Who is older, Clint Eastwood or Cuba Gooding Jr.?",Clint Eastwood,Clint Eastwood,Cuba Gooding Jr.,,,
1a3f9385,Which 2005 Christopher Nolan movie does not star Hugh Jackman?,Batman Begins,Batman Begins,The Prestige,Insomnia,Memento,Following
1a8c5701,Which 2008 Christopher Nolan movie does not star Keanu Reeves?,The Dark Knight,The Dark Knight,Inception,The Prestige,Memento,Following
37c24341,Which 2010 Christopher Nolan movie does not star Matthew McConaughey?,Inception,Inception,The Dark Knight Rises,Dunkirk,Interstellar,Tenet
6d3e3c24,Which 1993 movie about Wyatt Earp did Kevin Costner not star in?,Tombstone,Tombstone,Wyatt Earp: Return to Tombstone,Wyatt Earp: The Life and Legend,Gunfight at the O.K. Corral,My Darling Clementine
5bf0ec18,Which 1940 Disney movie did not feature the Little Mermaid as a character?,Fantasia,Pinocchio,Fantasia,Dumbo,Bambi,Cinderella
161a6504,Which Academy Award nominated movie directed by Raoul Walsh and Irving Cummings did not win Best Picture in 1928/29?,In Old Arizona,"""In Old Arizona""","""The Broadway Melody""","""Alibi""","""The Hollywood Revue of 1929""","""The Patriot"""
3d86c35c,"At the 1994 Oscars, which movie didn't win anything, despite receiving seven nominations?",Shawshank Redemption,The Shawshank Redemption,Quiz Show,Bullets Over Broadway,Nobody's Fool,Little Women
5a7a384e,Which 1952 Gene Kelly movie failed to earn a Best Picture nod at the Oscars that year?,Singin' in the Rain,Singin' in the Rain,An American in Paris,Brigadoon,The Devil Makes Three,Love Is Better Than Ever
fa7a8d6c,Which Harry Potter movie is the only one so far that does not depict either the Warner Bros. Pictures or Harry Potter logo against a sea of clouds?,Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Deathly Hallows – Part 1
65d7b1fb,Which Harry Potter movies do not feature Michael Gambon as Dumbledore?,Harry Potter and the Philosopher's Stone; Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix
d34fb1cc,Which American movies were released in 2020 and didn't have a domestic gross of less than $100 million?,"Bad Boys for Life, Sonic the Hedgehog",Tenet,Wonder Woman 1984,Sonic the Hedgehog,Bad Boys for Life,Mulan
f418604a,Which American movies were released in 2020 and didn't have a domestic gross of less than $80 million?,"Bad Boys for Life, Sonic the Hedgehog, Birds of Prey",Tenet,Wonder Woman 1984,Bad Boys for Life,Sonic the Hedgehog,The Croods: A New Age
861e653d,Which Harry Potter movie was Dumbledore not alive in?,Harry Potter and the Deathly Hallows part 1 and 2,Harry Potter and the Half-Blood Prince,Harry Potter and the Deathly Hallows - Part 1,Harry Potter and the Deathly Hallows - Part 2,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire
15e8a708,"Which movie did Gollum not survive in, in Lord of the Rings?",The Return of the King,The Return of the King,The Fellowship of the Ring,The Two Towers,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug
eaa9d643,Which Harry Potter movie did Dumbledore not survive through?,Harry Potter and the Half Blood Prince,Harry Potter and the Half-Blood Prince,Harry Potter and the Deathly Hallows - Part 1,Harry Potter and the Deathly Hallows - Part 2,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix
5b6f5a03,Which Hobbit movie was Frodo Baggins not in?,"The Hobbit: The Desolation of Smaug, and The Hobbit: The Battle of the Five Armies",The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies,,
f8b98e1c,In which Tim Burton movie is the music not made by Danny Elfman?,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,Ed Wood,Big Fish,Miss Peregrine's Home for Peculiar Children,Dumbo
d9f957a4,Which director directed Harry Potter 1 and 2 but not Harry Potter 3?,Chris Columbus,Chris Columbus,Alfonso Cuarón,Mike Newell,David Yates,Steven Spielberg
4e054acb,Which actor played Dumbledore in the first Harry Potter movie but not the third?,Richard Harris,Richard Harris,Michael Gambon,Ian McKellen,Sean Connery,Patrick Stewart
fc05ee12,Which Ang Lee movie was nominated for an Academy Award for Best Director but did not win?,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",Brokeback Mountain,Life of Pi,Sense and Sensibility,The Ice Storm
dfa95487,Which Twilight Saga movie did Anna Kendrick not appear in?,The Twilight Saga: Breaking Dawn – Part 2,Twilight,New Moon,Eclipse,Breaking Dawn - Part 1,Breaking Dawn - Part 2
5d65d703,Which Pirates of the Caribbean movie did Keira Knightley not appear in?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: Dead Man's Chest
57eda45b,Which movie did Macauley Culkin decide not to reprise his role in?,Home Alone 3,Home Alone 3,Richie Rich,The Good Son,My Girl 2,Getting Even with Dad
4d6d7be0,Which movie did Keanu Reeves not act in the sequel to?,Speed 2,Speed,The Matrix,John Wick,Bill & Ted's Excellent Adventure,Point Break
5a127d08,Which Halloween movie did Jamie Lee Curtis not appear in?,Halloween 4,Halloween III: Season of the Witch,Halloween: Resurrection,Halloween (2018),Halloween Kills,Halloween Ends
42061acb,Which movies did Alfred Hitchcock get nominated for Best Director and didn't win?,"Rebecca, Lifeboat, Spellbound, Rear Window, and Psycho","""Rebecca""","""Lifeboat""","""Spellbound""","""Rear Window""","""Psycho"""
61e54a45,Which Star Wars Original Trilogy movies were not directed by George Lucas?,"The Empire Strikes Back, Return of the Jedi",The Empire Strikes Back,Return of the Jedi,,,
6b22aff8,Which Lord of the Rings movie did not get nominated for the Best Director Oscar?,The Two Towers,The Fellowship of the Ring,The Two Towers,The Return of the King,,
6e2cbdb3,Which Captain America (MCU) movie does not star Scarlett Johansson?,The First Avenger,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame
acfa79ca,Which Iron Man movie was not directed by Jon Favreau?,Iron Man 3,Iron Man 3,Iron Man 2,Iron Man,Avengers: Endgame,Avengers: Infinity War
4f70dd9f,Which Thor movie from the original trilogy does not star Natalie Portman?,Thor: Ragnarok,Thor: Ragnarok,Thor: The Dark World,,,
a9d5f5fb,Which 2000 M. Night Shyamalan movie does not star Michael Jordan?,Unbreakable,The Sixth Sense,Unbreakable,Signs,The Village,Lady in the Water
3789a878,Which 2003 movie directed by Catherine Hardwicke does not star Tom Selleck?,Thirteen,Thirteen,Lords of Dogtown,The Nativity Story,Miss Bala,Plush
f4168bd3,Which Star Wars movie did not win or got a nomination for a Best Visual Effects award?,Star Wars: Episode III – Revenge of the Sith,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VII - The Force Awakens,Solo: A Star Wars Story
c613b0b3,Which was the first Pixar movie to not be released in the 2010's?,Onward,Toy Story,Finding Nemo,"Monsters, Inc.",The Incredibles,Cars
1402f805,Which was the first DC Extended Universe movie to not involve Charles Roven as a producer?,Aquaman,Aquaman,Shazam!,Joker,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Wonder Woman 1984
fa08c557,Which The Godfather movie was not released in the 1970s?,The Godfather Part III,The Godfather Part III,The Godfather: Part II,The Godfather: Part I,The Godfather: Part IV,The Godfather: Part V
af632860,Which 2012 Quentin Tarantino movie does not star Uma Thurman?,Django Unchained,Django Unchained,The Hateful Eight,Inglourious Basterds,Once Upon a Time in Hollywood,Death Proof
781e6a1d,For which movie was Leonardo DiCaprio nominated for Best Actor in 2007 but did not win?,Blood Diamond,Blood Diamond,The Departed,The Aviator,Revolutionary Road,Shutter Island
7e96646d,Which Christmas favorite movie received five nominations for an Academy Award but did not win any of them?,It's a Wonderful Life.,"""It's a Wonderful Life""","""A Christmas Story""","""Miracle on 34th Street""","""Love Actually""","""Elf"""
f949efcc,"Which famous 1954 ""thriller"" with James Stewart did not win an Academy Award?",Rear Window,Rear Window,Vertigo,Dial M for Murder,The Man Who Knew Too Much,Rope
66e66d5d,"Who starred in ""Rebel Without a Cause"" but was not awarded an Academy Award for his/her acting?",James Dean,James Dean,Natalie Wood,Sal Mineo,Dennis Hopper,Jim Backus
015e0dd9,"Which Judy Garland movie was nominated for, but did not win, the Best Picture Oscar in 1939?",The Wizard of Oz,The Wizard of Oz,Babes in Arms,Love Finds Andy Hardy,"Listen, Darling",The Story of Vernon and Irene Castle
d4a90c39,"Who wrote, ""Live and Let Die"", for the 1973 James Bond movie of the same name, which was nominated for, but did not win, the Best Original Song Oscar?",Paul McCartney,Paul McCartney,Linda McCartney,George Harrison,John Lennon,Ringo Starr
6755a221,"Which Australian actress was nominated for 2020 BAFTA Best Supporting Actress awards for two different movies, but did not win the BAFTA for either movie?",Margot Robie,Margot Robbie,Nicole Kidman,Cate Blanchett,Toni Collette,Naomi Watts
3bf84d0d,Which movie was Chadwick Bosman nominated for but did not win?,Ma Rainey's Black Bottom,Black Panther,Ma Rainey's Black Bottom,42,Get on Up,Marshall
ab3c0d55,Which category was Sacha Baron Cohen nominated for but did not win?,Actor in a Supporting Role,Best Actor in a Leading Role,Best Adapted Screenplay,Best Director,Best Picture,Best Original Song
7264af05,Which movie was Glenn Close in that was nominated for the Actress in a Supporting Role award but did not win?,Hillbilly Elegy,The World According to Garp,The Big Chill,The Natural,Fatal Attraction,Albert Nobbs
a1c278e9,Who was nominated for the award in Cinematography for their role in Judas and the Black Messiah but did not win?,Sean Bobbitt,Sean Bobbitt,Erik Messerschmidt,Dariusz Wolski,Phedon Papamichael,Newton Thomas Sigel
dbce9464,Which Christopher Nolan movies were nominated for Best Picture but didn't win?,Inception & Dunkirk,Inception,Dunkirk,The Prestige,Memento,The Dark Knight
2c576ee0,Which Peter Jackson movies were nominated for Best Picture but didn't win?,"Lord of the Rings : Fellowship of the Ring, Lord of the Rings : The Two Towers, District 9",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King,District 9,Heavenly Creatures
3ddbb725,Which Ron Howard movie was nominated for Best Picture but didn't win?,Frost/Nixon,Apollo 13,Frost/Nixon,A Beautiful Mind,The Fugitive,Cinderella Man
000c8562,Which Tim Burton movies were nominated for Best Animated Feature but didn't win?,Corpse Bride & Frankenweenie,Corpse Bride,Frankenweenie,The Corpse Bride,Frankenweenie ,Corpse Bride
553cdcad,What was the first live action Spider-Man movie to not include Tobey Maguire?,The Amazing Spider-Man,Andrew Garfield,The Amazing Spider-Man,Marc Webb,Emma Stone,Gwen Stacy
bd19b18c,What was the last Studio Ghibli to not be made by Miyazaki?,Earwig and the Witch,Whisper of the Heart,The Cat Returns,Tales from Earthsea,From Up on Poppy Hill,When Marnie Was There
474bb18f,"What was the last movie Clint Eastwood starred in, but was not a Dirty Harry movie?",Cry Macho,Gran Torino,The Mule,Trouble with the Curve,Million Dollar Baby,In the Line of Fire
2af1f702,What was the first Home Alone movie to not feature Macaulay Culkin?,Home Alone 3,Home Alone 3,Home Alone 4: Taking Back the House,Home Alone: The Holiday Heist,Home Sweet Home Alone,None
fbe6ee56,Which Terminator movie featured Arnold Schwarzenegger as the villain and not the hero?,Terminator 1,Terminator 3: Rise of the Machines,Terminator Genisys,Terminator: Dark Fate,Terminator Salvation,The Terminator
ee95fe21,Which original trilogy Star Wars movie did not feature Billy Dee Williams?,Episode IV: A New Hope,A New Hope,The Empire Strikes Back,Return of the Jedi,,
abc1164e,What was the first Star Trek movie to not star the original cast?,Star Trek: First Contact,Star Trek: The Next Generation,Star Trek: Generations,Star Trek: First Contact,Star Trek: Insurrection,Star Trek: Nemesis
1edbc3c8,"What was the most recent movie Glenn Close did not win an Oscar for, despite a nod?",Hillbilly Ellegy,The Wife,Albert Nobbs,Fatal Attraction,Dangerous Liaisons,Sunset Boulevard
5c56b957,Which movie did Leo DiCaprio receive an Oscar nomination for in 2005 for Best Actor but did not win?,The Aviator,The Aviator,Blood Diamond,The Departed,Catch Me If You Can,Revolutionary Road
5832e733,Which Alfonso Cuarón movie did not win an Oscar in 2018 for Best Picture?,Roma,Roma,Gravity,Children of Men,Y Tu Mamá También,Harry Potter and the Prisoner of Azkaban
9f61e8d8,Which Scorsese movie has won an Oscar for Best Director without De Niro participating in the project?,The Departed,The Departed,Hugo,The Aviator,The Irishman,Silence
9bcc144a,Which Lawrence of Arabia actor was nominated for Best Actor but did not win?,Peter O'Toole,Peter O'Toole,Alec Guinness,Omar Sharif,Anthony Quinn,Claude Rains
364d326e,Who played the main character in Titanic who did not die in freezing water?,Kate Winslet,Leonardo DiCaprio,Kate Winslet,Rose DeWitt Bukater,Jack Dawson,Billy Zane
789cf0fa,Which Lord of the Rings movies did not feature Gandalf the Grey?,"The Two Towers, and The Return of the King",The Two Towers,The Return of the King,,,
4001d7e5,Which Matrix movie did Lilly Wachowski not direct?,The Matrix: Resurrections,The Matrix,The Matrix Reloaded,The Matrix Revolutions,The Animatrix,The Matrix Resurrections
8cf618ec,Which Dumb and Dumber movie did Jim Carrey not star in?,Dumb and Dumberer,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumber To,None,N/A,Not applicable
cbb4db0e,Which Fast and the Furious movies did not star Paul Walker?,"The Fate of the Furious, Fast and Furious: Hobbs and Shaw, and F9",Fast & Furious: Tokyo Drift,Fast & Furious 6,The Fate of the Furious,Hobbs & Shaw,F9
6bf186bc,Which actor died and was nominated for Best Actor afterwards but did not win?,Chadwick Boseman,James Dean,Heath Ledger,Chadwick Boseman,Peter Finch,Spencer Tracy
4ee23829,Which Korean-American actor was nominated for Best Actor but did not win?,Steven Yeun,Steven Yeun,John Cho,Daniel Dae Kim,Ki Hong Lee,Randall Park
7de26165,Which movie about Korean immigrants was nominated for Best Original Score but did not win?,Minari,Minari,The Farewell,Burning,Okja,Snowpiercer
d3f06b09,Which 1997 Steven Spielberg movie does not star Jeff Goldblum?,Amistad,The Lost World: Jurassic Park,Amistad,Schindler's List,Saving Private Ryan,AI: Artificial Intelligence
542fd4e6,Which 1989 Steven Spielberg movie does not star Richard Dreyfuss?,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,Always,The Adventures of Tintin,Hook,Empire of the Sun
63fd3dba,Which 2002 Steven Spielberg movie does not star Tom Cruise?,Catch Me If You Can,Catch Me If You Can,Minority Report,The Terminal,War of the Worlds,A.I. Artificial Intelligence
2ff83a9b,Which 1994 Quentin Tarantino movie does not star Woody Harrelson?,Pulp Fiction,Pulp Fiction,Reservoir Dogs,True Romance,Natural Born Killers,Four Rooms
f0031f64,Which Steven Spielberg movies were nominated for Best Picture but did not win?,"E.T. the Extra-Terrestrial, The Color Purple, Saving Private Ryan, Munich, Letters from Iwo Jima, War Horse, Lincoln, Bridge of Spies, The Post",E.T. the Extra-Terrestrial,Saving Private Ryan,Munich,Lincoln,The Post
e12018d7,Which Paul Anderson movies were nominated for Best Picture but did not win?,"There Will Be Blood, Phantom Thread",There Will Be Blood,Phantom Thread,,,
a4e6f2f9,Which Martin Scorsese movies were nominated for Best Picture but did not win?,"Hugo, The Wolf of Wall Street, The Irishman",Taxi Driver,Gangs of New York,The Wolf of Wall Street,The Irishman,Hugo
663fc8b7,Which Alfred Hitchcock movies were nominated for Best Picture but did not win?,"Foreign Correspondent, Suspicion, Spellbound","""Rebecca""","""Rear Window""","""Psycho""","""Vertigo""","""North by Northwest"""
be380bff,Which awards was Chloe Zhao nominated for but did not win at the 93rd Academy Awards?,"Best Adapted Screenplay, Best Film Editing",Best Film Editing,Best Original Screenplay,Best Actress in a Leading Role,Best Actor in a Supporting Role,Best Cinematography
fe67980e,Which Iron Man movie does Terrance Howard not appear in?,"Iron Man 2, Iron Man 3",Iron Man 2,Iron Man 3,Iron Man: Rise of Technovore,Iron Man & Hulk: Heroes United,The Invincible Iron Man
6ea123ec,Which Star Wars movie did Darth Vader not appear in?,"Han Solo, Star Wars I, Star Wars II",Rogue One,The Last Jedi,Solo: A Star Wars Story,The Rise of Skywalker,The Clone Wars
54c2edcd,Which Iron Man movie did Jeff Bridges not appear in?,Iron Man II and Iron Man III,Iron Man 2,Iron Man 3,Iron Man: Rise of Technovore,Iron Man & Hulk: Heroes United,The Invincible Iron Man
2c86d446,Which Deadpool movie did Josh Brolin not appear in?,Deadpool 2,Deadpool (2016),Deadpool 2 (2018),Deadpool 3,Once Upon a Deadpool,X-Force
93177ace,Which X-Men movies did Patrick Stewart not appear in?,"X-Men: First Class, X-Men: Apocalypse",X-Men: First Class,X-Men: Days of Future Past,Deadpool 2,The New Mutants,Dark Phoenix
83ce8518,Which 2016 M. Night Shyamalan movie does not star Samuel L. Jackson?,Split,Split,The Visit,Lady in the Water,The Happening,After Earth
b1790cd2,Which 1992 Tim Burton movie does Johnny Depp not appear in?,Batman Returns,Batman Returns,Edward Scissorhands,Beetlejuice,Frankenweenie,Ed Wood
